SUMS_ID,Galaxy,RA,Dec,Ranking,UVW2,UVW2_err,UVM2,UVM2_err,UVW1,UVW1_err,U,U_err,B,B_err,V,V_err,I,I_err,UVW2_std,UVM2_std,UVW1_std,UVW2_flux_frac,UVM2_flux_frac,UVW1_flux_frac,UVW2_resid_frac,UVM2_resid_frac,UVW1_resid_frac,UVW2_dist_moved,UVM2_dist_moved,UVW1_dist_moved,UVW2_dist_neighbor,UVM2_dist_neighbor,UVW1_dist_neighbor,UVW2_n5,UVM2_n5,UVW1_n5,UVW2_n2p5,UVM2_n2p5,UVW1_n2p5,UVW2_nobs,UVM2_nobs,UVW1_nobs,Gaia_chi2
SUMS_bec05,SMC,15.322995,-72.06146,B-G,19.14,0.08,19.04,0.09,19.23,0.08,19.198063684656457,0.0819999999999999,19.091526092405303,0.084,19.140298792988418,0.051,19.926399283711124,0.1169999999999999,0.07,0.14,0.3,0.41,0.42,0.36,0.14,0.23,0.19,0.04,0.03,0.03,2.23,2.25,2.23,2.0,2.0,2.0,2,2,2,3.0,3.0,4.0,5.0
SUMS_becbf,SMC,15.328485,-72.06012,VB-G,18.89,0.05,18.62,0.07,18.75,0.06,19.938063684656456,0.087,19.6005260924053,0.052,19.70029879298842,0.052,20.363399283711125,0.1009999999999999,0.48,0.75,0.35,0.3,0.43,0.32,0.15,0.22,0.18,0.04,0.09,0.06,2.05,2.04,1.99,1.0,1.0,1.0,1,1,1,5.0,3.0,4.0,0.2
SUMS_bef33,SMC,15.34566,-72.0699,VB-E,17.74,0.03,17.57,0.03,17.61,0.03,18.375063684656457,0.049,18.323526092405302,0.0579999999999999,18.46529879298842,0.17,19.25339928371113,0.0819999999999999,0.15,0.32,0.16,0.48,0.55,0.43,0.1,0.13,0.11,0.11,0.1,0.07,1.96,1.84,1.8,1.0,1.0,1.0,1,1,1,5.0,5.0,4.0,0.3
SUMS_bf132,SMC,15.360779999999998,-72.2832,B-G,18.78,0.1,18.91,0.13,,,19.387063684656457,,19.0485260924053,0.054,19.25629879298842,0.039,19.95439928371113,0.1009999999999999,,,,0.46,0.43,,0.28,0.3,,0.14,0.08,,3.91,3.87,,2.0,2.0,,0,0,0,1.0,1.0,,3.5
SUMS_bf44a,SMC,15.38403,-71.94426999999997,VB-G,18.4,0.07,18.48,0.09,18.68,0.08,19.324063684656455,0.071,18.9765260924053,0.054,19.60129879298842,0.207,20.050399283711126,0.108,0.0,,0.2,0.2,0.17,0.16,0.22,0.24,0.24,0.03,0.03,0.03,2.57,2.62,2.55,2.0,2.0,2.0,0,0,0,3.0,1.0,2.0,0.2
SUMS_bf88d,SMC,15.41244,-72.40751999999998,B-G,19.32,0.08,19.24,0.1,19.49,0.14,19.503063684656457,0.061,19.268526092405303,0.046,19.32829879298842,0.047,19.973399283711124,0.075,0.03,0.08,0.36,0.21,0.2,0.17,0.24,0.29,0.26,0.03,0.01,0.02,2.77,2.79,2.76,3.0,3.0,3.0,0,0,0,5.0,2.0,2.0,0.5
SUMS_bfa50,SMC,15.423959999999996,-72.15199,B-G,18.47,0.05,18.35,0.07,18.48,0.07,18.550063684656457,0.043,18.4885260924053,0.0289999999999999,18.73729879298842,0.046,19.415399283711125,0.0579999999999999,0.05,0.0,0.09,0.26,0.28,0.26,0.19,0.17,0.17,0.04,0.04,0.07,3.31,3.43,3.35,2.0,2.0,2.0,0,0,0,3.0,3.0,2.0,1.2
SUMS_bfa9d,SMC,15.425999999999998,-72.56295,B-G,18.02,0.04,17.82,0.05,18.1,0.05,18.771063684656458,0.072,18.3075260924053,0.183,18.76929879298842,0.0969999999999999,19.074399283711124,0.105,0.1,0.05,0.01,0.36,0.36,0.34,0.14,0.16,0.15,0.14,0.09,0.15,2.82,2.76,2.79,4.0,4.0,4.0,0,0,0,3.0,3.0,3.0,7.4
SUMS_bfbeb,SMC,15.43578,-72.18136,B-E,15.53,0.03,15.64,0.03,15.73,0.03,16.097063684656458,0.03,16.186526092405302,,16.591298792988418,0.044,17.350399283711127,0.035,0.0,0.02,0.0,1.0,1.0,1.0,0.02,0.04,0.03,0.19,0.14,0.16,6.07,6.03,6.09,,,,0,0,0,2.0,3.0,2.0,0.2
SUMS_bfe01,SMC,15.451635,-72.56474,VB-G,19.28,0.12,,,19.4,0.11,,,20.245526092405303,0.152,19.95329879298842,0.099,20.03839928371113,0.109,,,0.08,0.45,,0.45,0.25,,0.27,0.02,,0.01,4.16,,4.14,3.0,,2.0,0,0,0,1.0,,2.0,
SUMS_bff7a,SMC,15.461939999999997,-72.18396,B-E,14.94,0.03,14.99,0.03,15.1,0.03,15.874063684656456,,15.5855260924053,0.026,16.07329879298842,0.036,16.762399283711126,0.07,0.01,0.02,0.02,1.0,0.99,1.0,0.01,0.03,0.02,0.37,0.28,0.35,5.02,5.07,4.99,,,1.0,0,0,0,2.0,3.0,2.0,0.0
SUMS_bff97,SMC,15.462525,-72.08197,B-G,18.01,0.03,17.81,0.04,17.98,0.04,18.396063684656458,0.106,18.2495260924053,0.067,18.51229879298842,0.085,19.110399283711125,0.086,0.12,0.18,0.12,0.34,0.38,0.33,0.11,0.12,0.09,0.07,0.07,0.07,1.55,1.56,1.48,3.0,3.0,3.0,2,2,2,5.0,6.0,5.0,2.5
SUMS_c0248,SMC,15.480059999999998,-72.45029,B-E,17.59,0.02,17.63,0.03,17.54,0.03,18.136063684656456,0.045,18.059526092405303,0.04,18.239298792988414,0.05,18.873399283711127,0.054,0.23,0.15,0.22,0.52,0.46,0.5,0.16,0.18,0.17,0.11,0.06,0.09,1.78,1.77,1.77,1.0,1.0,1.0,1,1,1,7.0,6.0,7.0,1.2
SUMS_c0331,SMC,15.486375,-72.21545,B-G,19.4,0.12,19.39,0.14,19.52,0.17,20.445063684656457,0.09,19.6965260924053,0.054,19.70629879298842,0.053,19.812399283711127,0.1639999999999999,0.02,0.15,0.35,0.35,0.4,0.39,0.08,0.25,0.11,0.09,0.04,0.04,4.05,4.08,4.05,1.0,1.0,1.0,0,0,0,2.0,2.0,2.0,1.1
SUMS_c064a,SMC,15.507705,-72.44467,VB-G,17.95,0.03,17.9,0.04,17.94,0.03,18.857063684656456,0.067,18.7175260924053,0.0559999999999999,18.91529879298842,0.07,19.566399283711124,0.072,0.26,0.22,0.18,0.35,0.35,0.34,0.17,0.19,0.17,0.16,0.12,0.13,1.62,1.72,1.71,1.0,1.0,1.0,1,1,1,4.0,4.0,6.0,8.0
SUMS_c06dc,SMC,15.511665,-72.03627,B-E,18.39,0.05,18.36,0.07,18.34,0.09,18.511063684656456,0.0409999999999999,18.457526092405303,0.033,18.70329879298842,0.039,19.434399283711127,0.042,0.09,0.02,,0.93,0.95,0.87,0.25,0.29,0.24,0.08,0.07,0.12,2.32,2.29,2.36,1.0,1.0,1.0,1,1,1,4.0,2.0,1.0,0.1
SUMS_c11e5,SMC,15.58731,-72.91133,B-G,19.26,0.05,19.22,0.06,19.34,0.07,19.354063684656456,0.123,19.2035260924053,0.031,19.59729879298842,0.122,19.324399283711124,,0.11,0.04,0.06,0.38,0.37,0.32,0.17,0.22,0.17,0.03,0.02,0.02,3.86,3.89,3.87,3.0,3.0,3.0,0,0,0,5.0,4.0,4.0,0.3
SUMS_c13d4,SMC,15.60078,-72.00661,VB-E,19.14,0.11,19.04,0.15,19.2,0.17,19.911063684656455,0.142,19.538526092405306,0.045,19.68829879298842,0.053,20.002399283711124,0.106,0.0,,,0.44,0.43,0.4,0.21,0.23,0.25,0.03,0.04,0.04,4.48,4.51,4.49,1.0,1.0,1.0,0,0,0,2.0,1.0,1.0,2.3
SUMS_c1596,SMC,15.612899999999998,-72.04909,B-E,16.41,0.03,16.55,0.04,16.64,0.04,16.958063684656455,0.193,17.012526092405302,0.026,17.36029879298842,0.03,18.068399283711127,0.035,0.02,0.0,0.03,0.61,0.54,0.56,0.06,0.07,0.04,0.11,0.06,0.07,2.56,2.54,2.54,2.0,2.0,2.0,0,0,0,4.0,3.0,2.0,0.4
